CustomerID,CityTier,NumberOfDeviceRegistered,NumberOfAddress,OrderAmountHikeFromlastYear,Tenure_log,Dormancy_Shock,Recency_Tenure_Ratio,MonthlyOrderFreq,IssueIndex,Satisfaction_Per_Order,Silent_Killer,CashbackPerOrder,Promo_Sensitivity,Stagnant_Loyal,ManyAddressesFlag,PreferredLoginDevice_Mobile Phone,PreferredLoginDevice_Phone,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Married,MaritalStatus_Single,Gender_Male,Churn_Actual,Churn_Prob,Churn_Pred,RiskLevel,CustomerGrade
,3,4,3,21.0,2.8903717578961645,2.7692307692307696,0.47058823529411775,0.47058823529411775,0,0.1111111111111111,1,20.194444444444443,0.6666666666666666,0,1,0,0,0,1,0,0,0,1,0,1,0,0.0179,0,안전,Platinum
,3,4,8,18.0,3.295836866004329,0.5,0.2692307692307692,0.038461538461538464,1,0.5,0,104.66999999999999,0.0,0,1,1,0,0,0,0,0,0,1,0,0,0,1e-04,0,안전,Platinum
,1,4,3,24.0,1.791759469228055,3.3749999999999996,1.8,0.4,0,0.3333333333333333,1,56.413333333333334,0.6666666666666666,0,1,1,0,0,1,0,0,0,0,1,0,0,0.0005,0,안전,Platinum
,1,4,8,15.0,3.258096538021482,0.21428571428571427,0.07999999999999999,0.07999999999999999,0,0.6666666666666666,1,44.04,0.0,0,1,0,1,0,0,1,0,0,0,1,0,0,0.0002,0,안전,Platinum
,3,3,2,19.0,1.6094379124341003,4.285714285714286,1.5000000000000004,2.2500000000000004,1,0.3,0,19.852,0.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2358,0,관심,Gold
,3,4,5,14.0,3.2188758248682006,0.7777777777777778,0.2916666666666667,0.08333333333333334,0,0.3333333333333333,1,80.0,0.6666666666666666,0,1,1,0,0,0,0,0,1,1,0,0,0,0.0005,0,안전,Platinum
,3,5,5,19.0,2.5649493574615367,2.5714285714285716,0.5,0.6666666666666666,0,0.2222222222222222,1,19.721111111111114,0.7777777777777778,0,1,0,0,0,1,0,0,0,0,0,1,0,0.0574,0,안전,Platinum
C0884,1,4,5,15.0,2.995732273553991,0.40909090909090917,0.15789473684210528,0.10526315789473686,0,0.6666666666666666,1,49.23333333333333,0.3333333333333333,0,1,0,1,0,0,0,1,0,1,0,0,0,0.0037,0,안전,Platinum
,1,4,3,13.0,1.791759469228055,0.7499999999999999,0.4,0.4,1,1.6666666666666667,0,64.44333333333334,0.3333333333333333,0,1,1,0,0,1,0,0,0,0,0,1,0,0.0413,0,안전,Platinum
,1,3,2,11.0,3.044522437723423,0.0,0.0,0.15,1,0.5,0,60.0,0.25,0,0,1,0,1,0,0,0,0,0,0,0,0,0.014,0,안전,Platinum
C0292,1,1,6,12.0,2.833213344056216,0.2222222222222222,0.125,0.0625,0,2.0,0,74.38,0.5,0,1,0,1,0,0,0,1,0,1,0,1,0,0.0009,0,안전,Platinum
,1,4,2,12.0,0.0,8.181818181818182,90.0,10.0,0,2.5,0,93.61,0.5,0,0,0,0,0,0,0,0,0,0,1,1,1,0.9769,1,고위험,Risk
