CustomerID,Churn_Actual,Churn_Pred,Churn_Prob,RiskLevel,CustomerGrade,MonthlyOrderFreq,Dormancy_Shock,Recency_Tenure_Ratio,CashbackPerOrder,Promo_Sensitivity,Satisfaction_Per_Order,IssueIndex,Silent_Killer,Stagnant_Loyal,OrderAmountHikeFromlastYear,Tenure_log,NumberOfAddress
C0001,0,0,0.0179,안전,Platinum,0.4706,2.7692,0.4706,20.19,0.6667,0.1111,0,1,0,21.0,2.8904,3
C0002,0,0,1e-04,안전,Platinum,0.0385,0.5,0.2692,104.67,0.0,0.5,1,0,0,18.0,3.2958,8
C0003,0,0,0.0005,안전,Platinum,0.4,3.375,1.8,56.41,0.6667,0.3333,0,1,0,24.0,1.7918,3
C0004,0,0,0.0002,안전,Platinum,0.08,0.2143,0.08,44.04,0.0,0.6667,0,1,0,15.0,3.2581,8
C0005,0,0,0.2358,관심,Gold,2.25,4.2857,1.5,19.85,0.8,0.3,1,0,0,19.0,1.6094,2
C0006,0,0,0.0005,안전,Platinum,0.0833,0.7778,0.2917,80.0,0.6667,0.3333,0,1,0,14.0,3.2189,5
C0007,0,0,0.0574,안전,Platinum,0.6667,2.5714,0.5,19.72,0.7778,0.2222,0,1,0,19.0,2.5649,5
C0008,0,0,0.0037,안전,Platinum,0.1053,0.4091,0.1579,49.23,0.3333,0.6667,0,1,0,15.0,2.9957,5
C0009,0,0,0.0413,안전,Platinum,0.4,0.75,0.4,64.44,0.3333,1.6667,1,0,0,13.0,1.7918,3
C0010,0,0,0.014,안전,Platinum,0.15,0.0,0.0,60.0,0.25,0.5,1,0,0,11.0,3.0445,2
C0011,0,0,0.0009,안전,Platinum,0.0625,0.2222,0.125,74.38,0.5,2.0,0,0,0,12.0,2.8332,6
C0012,1,1,0.9769,고위험,Risk,10.0,8.1818,90.0,93.61,0.5,2.5,0,0,0,12.0,0.0,2
C0013,0,0,0.01,안전,Platinum,0.5263,4.4,0.6316,16.1,0.5455,0.4545,0,0,0,19.0,2.9957,3
C0014,0,0,0.0025,안전,Platinum,0.3182,2.1333,0.3636,20.69,0.875,0.125,0,1,0,15.0,3.1355,4
C0015,0,0,0.001,안전,Platinum,1.0,5.4,4.5,56.86,0.3333,1.6667,0,0,0,13.0,1.0986,3
